Dataset_Measure,swn,roberta-base,bert-base-uncased,senti-dd,word2vec-google-news-300,textblob,SO-CAL,SentiStrength,MPQA,Sen140,vader,lm,AFINN
DS50_Precision,0.4777838286110646,0.8578149546400692,0.8486716790304536,0.7090132022211939,0.7392090324018439,0.5155264323747375,0.5161201156055285,0.5640652726688569,0.5143498542665764,0.5344629260049079,0.6028357951190341,0.6147018355186915,0.6332339746007136
DS50_Recall,0.39689620203848575,0.8523373022587417,0.8473672765514981,0.705484346603239,0.7466445400215417,0.4852124025970546,0.4546011546804848,0.5712653035992576,0.4566672717114352,0.21964952674768007,0.539600231393091,0.6231598762679758,0.5896582122915369
DS50_F1-score,0.4107022550957626,0.8523106931116479,0.8457165452768554,0.7000564237155276,0.7328435998483199,0.4953209277613328,0.4574630514376154,0.5644244917956535,0.4630287908200893,0.1540190425697418,0.54522673183063,0.5914380730555319,0.5959727225643359
DS66_Precision,0.485067926044047,0.8948458813636677,0.8826650676513988,0.7389178970832201,0.7649845648558822,0.527479446399149,0.5248082387521154,0.5794231589618692,0.5215309121509663,0.5514125149916523,0.6194336878912393,0.6337315244900626,0.6504485907198913
DS66_Recall,0.4043863592193744,0.8826352701019452,0.875031489575635,0.7315325134899627,0.7740589026389988,0.4968022385865826,0.4587649486227695,0.5849231033640712,0.4630532122309406,0.2112286373723226,0.5533552899975094,0.6362623250426841,0.6053548946730078
DS66_F1-score,0.419386680443728,0.8843879687167544,0.8756768073639638,0.7271054064236601,0.7622280148263862,0.5070046677569225,0.4632656444699457,0.5795288763248163,0.4708077466356073,0.14618598248743336,0.5599064698908904,0.6022705156827937,0.6130130328393223
DS75_Precision,0.4916038738587281,0.9366444660451944,0.9222162518494011,0.7795901501763663,0.8016818976299909,0.5426334285995246,0.5444375552915106,0.6062590360706858,0.5283652254278219,0.5500367379672444,0.6409355720085108,0.6507058038342889,0.6712584003280965
DS75_Recall,0.4009372962285186,0.9341465261563704,0.9187720073199974,0.7702324309543341,0.8102723964577944,0.5039149365810563,0.4615733787678004,0.6069026734818367,0.4601123240991986,0.19844176605456346,0.5590366210218548,0.6556366084011696,0.6159037462400875
DS75_F1-score,0.4198806834100523,0.9344284610292682,0.9184938410592444,0.7672999012811587,0.7985596085551011,0.5168669491447311,0.472501828830277,0.6048686461531239,0.4726201098761604,0.1344408677272992,0.5701909205355047,0.6174432803002751,0.6264867971530685
DSAll_Precision,0.4624246321290988,0.9641579853004971,0.8732877830944747,0.8238327413606809,0.8124667884614564,0.5475921731766344,0.5430886879845074,0.6136504733369941,0.5185501518813761,0.5581336200284347,0.640509474378799,0.6376720060939454,0.6868299242502222
DSAll_Recall,0.3873298093292719,0.9615043121575584,0.8596480028643902,0.812750075921851,0.8184905627114057,0.5227911765965864,0.47234357228996904,0.6170890654818223,0.460357494782931,0.19477403183775407,0.568831458428547,0.647628977158211,0.6392277581463139
DSAll_F1-score,0.4057536178575816,0.9619714545408876,0.8462122367467495,0.8105386447653181,0.8050202946944953,0.5317407484701746,0.4821213100748165,0.6143990580336747,0.4732865214140744,0.12573558490013634,0.577010301447207,0.5982049929823646,0.6476862228722233
