direction_dependency,entity,score
proportional,quarter,1.0291666666666666
proportional,margin,1.04
proportional,volume,1.04
proportional,passenger,1.04
inversely_proportional,cost,-13.0
proportional,revenue,1.04
proportional,period,1.04
proportional,profit,1.0352073732718894
proportional,product,1.04
proportional,eur,1.021090909090909
proportional,contract,1.04
proportional,value,1.04
proportional,sale,1.0342541436464088
proportional,solution,1.04
proportional,mln,1.04
proportional,management,1.04
proportional,item,1.04
proportional,percent,1.011891891891892
proportional,income,1.04
proportional,customer,1.04
proportional,system,1.04
proportional,demand,1.04
proportional,news,1.04
proportional,division,1.04
proportional,business,1.04
proportional,paper,1.04
proportional,finnair,1.04
proportional,investment,1.04
proportional,phone,1.04
proportional,oyj,1.04
proportional,june,1.04
proportional,group,1.04
proportional,interest,1.04
proportional,year,1.023875968992248
proportional,electronics,1.04
proportional,efficiency,1.04
proportional,turnover,1.04
proportional,medium,1.04
proportional,capital,1.04
proportional,currency,1.04
proportional,pulp,1.04
proportional,share,1.0107042253521126
proportional,trade,1.04
proportional,end,1.04
proportional,tonne,1.04
proportional,world,1.04
proportional,agreement,1.04
proportional,order,1.04
proportional,month,1.04
proportional,brewery,1.04
proportional,report,1.04
proportional,food,1.04
proportional,september,1.04
proportional,communication,1.04
proportional,net,1.04
proportional,march,1.04
proportional,maker,1.04
proportional,time,1.04
inversely_proportional,company,-1.4130434782608696
inversely_proportional,plant,-5.2
proportional,metal,1.04
proportional,use,1.04
proportional,cent,1.04
proportional,ebit,1.04
proportional,cargotec,1.04
proportional,cash,1.04
inversely_proportional,day,-9.75
proportional,teleste,1.04
proportional,orion,1.04
proportional,property,1.04
proportional,manufacturer,1.04
inversely_proportional,construction,-7.8
proportional,konecranes,1.04
proportional,area,1.04
inversely_proportional,result,-3.7142857142857144
proportional,acquisition,1.04
inversely_proportional,traffic,-3.25
proportional,beer,1.04
proportional,growth,1.04
proportional,liter,1.04
