sentiment,entity,directional_word
positive,share,acceler
positive,share,advanc
positive,share,award
positive,share,better
positive,share,climb
positive,share,doubl
positive,share,faster
positive,share,gain
positive,share,grow
positive,share,higher
positive,share,increas
positive,share,jump
positive,share,quicken
positive,share,rebound
positive,share,recov
positive,share,rise
positive,share,rose
positive,share,step-up
positive,share,surg
positive,share,up
positive,ftse,acceler
positive,ftse,advanc
positive,ftse,award
positive,ftse,better
positive,ftse,climb
positive,ftse,doubl
positive,ftse,faster
positive,ftse,gain
positive,ftse,grow
positive,ftse,higher
positive,ftse,increas
positive,ftse,jump
positive,ftse,quicken
positive,ftse,rebound
positive,ftse,recov
positive,ftse,rise
positive,ftse,rose
positive,ftse,step-up
positive,ftse,surg
positive,ftse,up
positive,price,acceler
positive,price,advanc
positive,price,award
positive,price,better
positive,price,climb
positive,price,doubl
positive,price,faster
positive,price,gain
positive,price,grow
positive,price,higher
positive,price,increas
positive,price,jump
positive,price,quicken
positive,price,rebound
positive,price,recov
positive,price,rise
positive,price,rose
positive,price,step-up
positive,price,surg
positive,price,up
positive,sale,constrain
positive,sale,deceler
positive,sale,declin
positive,sale,decreas
positive,sale,down
positive,sale,drop
positive,sale,fall
positive,sale,fell
positive,sale,slower
positive,sale,weaken
positive,sale,weaker
positive,sabmiller,constrain
positive,sabmiller,deceler
positive,sabmiller,declin
positive,sabmiller,decreas
positive,sabmiller,down
positive,sabmiller,drop
positive,sabmiller,fall
positive,sabmiller,fell
positive,sabmiller,slower
positive,sabmiller,weaken
positive,sabmiller,weaker
positive,tesco,constrain
positive,tesco,deceler
positive,tesco,declin
positive,tesco,decreas
positive,tesco,down
positive,tesco,drop
positive,tesco,fall
positive,tesco,fell
positive,tesco,slower
positive,tesco,weaken
positive,tesco,weaker
negative,share,constrain
negative,share,deceler
negative,share,declin
negative,share,decreas
negative,share,down
negative,share,drop
negative,share,fall
negative,share,fell
negative,share,slower
negative,share,weaken
negative,share,weaker
negative,ftse,constrain
negative,ftse,deceler
negative,ftse,declin
negative,ftse,decreas
negative,ftse,down
negative,ftse,drop
negative,ftse,fall
negative,ftse,fell
negative,ftse,slower
negative,ftse,weaken
negative,ftse,weaker
negative,price,constrain
negative,price,deceler
negative,price,declin
negative,price,decreas
negative,price,down
negative,price,drop
negative,price,fall
negative,price,fell
negative,price,slower
negative,price,weaken
negative,price,weaker
negative,sale,acceler
negative,sale,advanc
negative,sale,award
negative,sale,better
negative,sale,climb
negative,sale,doubl
negative,sale,faster
negative,sale,gain
negative,sale,grow
negative,sale,higher
negative,sale,increas
negative,sale,jump
negative,sale,quicken
negative,sale,rebound
negative,sale,recov
negative,sale,rise
negative,sale,rose
negative,sale,step-up
negative,sale,surg
negative,sale,up
negative,sabmiller,acceler
negative,sabmiller,advanc
negative,sabmiller,award
negative,sabmiller,better
negative,sabmiller,climb
negative,sabmiller,doubl
negative,sabmiller,faster
negative,sabmiller,gain
negative,sabmiller,grow
negative,sabmiller,higher
negative,sabmiller,increas
negative,sabmiller,jump
negative,sabmiller,quicken
negative,sabmiller,rebound
negative,sabmiller,recov
negative,sabmiller,rise
negative,sabmiller,rose
negative,sabmiller,step-up
negative,sabmiller,surg
negative,sabmiller,up
negative,tesco,acceler
negative,tesco,advanc
negative,tesco,award
negative,tesco,better
negative,tesco,climb
negative,tesco,doubl
negative,tesco,faster
negative,tesco,gain
negative,tesco,grow
negative,tesco,higher
negative,tesco,increas
negative,tesco,jump
negative,tesco,quicken
negative,tesco,rebound
negative,tesco,recov
negative,tesco,rise
negative,tesco,rose
negative,tesco,step-up
negative,tesco,surg
negative,tesco,up
