Dataset_Measure,textblob,SO-CAL,MPQA,Sen140,swn,senti-dd,roberta-base,bert-base-uncased,word2vec-google-news-300,lm,AFINN,vader,SentiStrength
FiQA_Precision,0.7328835983965416,0.6421439006299255,0.7691020783456259,0.6080627749998249,0.6498344757961281,0.8593765587474472,0.4182229275786729,0.5356003842435145,0.761000912473369,0.8333896030898991,0.7377068612819659,0.7152820414033164,0.6934630474594088
FiQA_Recall,0.2546238244514106,0.3715778474399164,0.3899686520376175,0.4862852664576803,0.3623563218390804,0.389864158829676,0.6444096133751306,0.5501567398119123,0.768312434691745,0.2890282131661442,0.4471264367816092,0.4678683385579937,0.2730407523510971
FiQA_F1-score,0.3459306760546647,0.452577247972348,0.4979547066902176,0.4924418974408485,0.4418048737716398,0.4936930892215322,0.5063880187151042,0.5185930291526233,0.7413037601552555,0.3634751019139616,0.5403424247285258,0.5513121813707716,0.3327031102123501
DS50_Precision,0.5155264323747375,0.5161201156055284,0.5143498542665764,0.5344629260049079,0.4777838286110645,0.7136820089023151,0.8578149546400692,0.8486716790304538,0.7392090324018439,0.6147018355186915,0.6332339746007136,0.6028357951190341,0.5640652726688569
DS50_Recall,0.4852124025970546,0.4546011546804847,0.4566672717114352,0.21964952674768,0.3968962020384857,0.7102413349256683,0.8523373022587417,0.8473672765514981,0.7466445400215417,0.6231598762679758,0.5896582122915369,0.539600231393091,0.5712653035992576
DS50_F1-score,0.4953209277613327,0.4574630514376154,0.4630287908200891,0.1540190425697417,0.4107022550957624,0.7056901470792042,0.8523106931116479,0.8457165452768554,0.73284359984832,0.5914380730555319,0.5959727225643359,0.54522673183063,0.5644244917956535
DS66_Precision,0.527479446399149,0.5248082387521154,0.5215309121509663,0.5514125149916523,0.485067926044047,0.7433306026311629,0.8948458813636677,0.8826650676513987,0.7649845648558822,0.6337315244900626,0.6504485907198913,0.6194336878912392,0.5794231589618692
DS66_Recall,0.4968022385865825,0.4587649486227695,0.4630532122309405,0.2112286373723226,0.4043863592193744,0.7358001651576578,0.8826352701019452,0.875031489575635,0.7740589026389988,0.6362623250426841,0.6053548946730078,0.5533552899975094,0.5849231033640712
DS66_F1-score,0.5070046677569225,0.4632656444699455,0.4708077466356072,0.1461859824874332,0.4193866804437279,0.7321953589376671,0.8843879687167542,0.8756768073639638,0.7622280148263862,0.6022705156827938,0.6130130328393223,0.5599064698908904,0.5795288763248161
DS75_Precision,0.5426334285995246,0.5444375552915106,0.5283652254278219,0.5500367379672444,0.491603873858728,0.7898090328420151,0.9366444660451944,0.9222162518494011,0.8016818976299909,0.6507058038342889,0.6712584003280966,0.6409355720085108,0.6062590360706858
DS75_Recall,0.5039149365810563,0.4615733787678004,0.4601123240991985,0.1984417660545633,0.4009372962285185,0.78039292400244,0.9341465261563704,0.9187720073199974,0.8102723964577943,0.6556366084011696,0.6159037462400875,0.5590366210218548,0.6069026734818367
DS75_F1-score,0.5168669491447311,0.472501828830277,0.4726201098761603,0.1344408677272991,0.4198806834100523,0.7787781449337908,0.9344284610292682,0.9184938410592444,0.7985596085551011,0.6174432803002751,0.6264867971530685,0.5701909205355047,0.6048686461531237
DSAll_Precision,0.5475921731766344,0.5430886879845074,0.518550151881376,0.5581336200284347,0.4624246321290988,0.8343476207117551,0.964157985300497,0.8732877830944746,0.8124667884614564,0.6376720060939454,0.6868299242502222,0.6405094743787989,0.6136504733369941
DSAll_Recall,0.5227911765965864,0.4723435722899688,0.460357494782931,0.194774031837754,0.3873298093292717,0.8242525644822443,0.9615043121575584,0.8596480028643902,0.8184905627114057,0.647628977158211,0.6392277581463139,0.568831458428547,0.6170890654818224
DSAll_F1-score,0.5317407484701746,0.4821213100748164,0.4732865214140743,0.1257355849001363,0.4057536178575816,0.8232848244933761,0.9619714545408876,0.8462122367467495,0.8050202946944953,0.5982049929823646,0.6476862228722233,0.577010301447207,0.6143990580336747
SemEval_Precision,0.6427965342314554,0.6413837953603225,0.7154249458218909,0.5879829911647759,0.5879088659453526,0.8019259632965351,0.8003419333568216,0.642692222237162,0.745282006245121,0.7928919791055803,0.7055342153686379,0.6854986485160361,0.649570101645528
SemEval_Recall,0.2291666666666666,0.3645833333333333,0.3708333333333333,0.5270833333333333,0.35,0.3791666666666666,0.8166666666666667,0.6614583333333333,0.7552083333333334,0.2875,0.446875,0.46875,0.2927083333333333
SemEval_F1-score,0.3046349815257524,0.4470153866150303,0.470097779704441,0.5174577981002628,0.4218487241880381,0.4789308383874671,0.8028863325364342,0.597004730675302,0.7458451582387341,0.3631759073322982,0.5331003860008926,0.5446688955226519,0.3634796108892121
