direction_dependency,entity,score
proportional,astrazeneca,1.125
proportional,mail,1.125
proportional,share,1.125
inversely_proportional,mcfarlane,-9.0
proportional,retailer,1.125
proportional,refile,1.125
proportional,focus,1.125
proportional,sabmiller,1.125
proportional,shire,1.125
inversely_proportional,statoil,-9.0
proportional,rpt,1.125
proportional,passenger,1.125
proportional,hotel,1.125
proportional,britain,1.125
proportional,rio,1.125
proportional,meggitt,1.125
proportional,buy,1.125
proportional,arm,1.125
proportional,show,1.125
proportional,pearson,1.125
inversely_proportional,departure,-9.0
proportional,auto,1.125
proportional,hargreaves,1.125
proportional,ice,1.125
proportional,peroni,1.125
proportional,deal,1.125
proportional,buffett,1.125
proportional,bos,1.125
inversely_proportional,court,-9.0
proportional,tobacco,1.125
proportional,dutch,1.125
proportional,asset,1.125
proportional,ftse,1.125
proportional,brewer,1.125
proportional,trent,1.125
proportional,bid,1.125
proportional,march,1.125
proportional,update,1.125
proportional,lead,1.125
proportional,stock,1.125
proportional,news,1.125
proportional,busch,1.125
proportional,profit,1.125
proportional,cancer,1.125
proportional,companiestravis,1.125
proportional,metal,1.125
proportional,priceline,1.125
proportional,morning,1.125
proportional,companiesdixons,1.125
inversely_proportional,rbi,-9.0
proportional,primark,1.125
proportional,brief,1.125
inversely_proportional,slump,-4.5
proportional,relief,1.125
proportional,johnson,1.125
inversely_proportional,doubt,-9.0
proportional,petrofac,1.125
proportional,builder,1.125
inversely_proportional,keith,-9.0
proportional,ceo,1.125
proportional,approves,1.125
