direction_dependency,entity,score
proportional,item,1.0407407407407407
inversely_proportional,cost,-12.772727272727273
proportional,order,1.0407407407407407
proportional,world,1.0407407407407407
proportional,profit,1.034654537578514
proportional,sale,1.0336608717561098
proportional,september,1.0407407407407407
proportional,contract,1.0407407407407407
proportional,period,1.0407407407407407
proportional,mln,1.0407407407407407
proportional,number,1.0407407407407407
proportional,group,1.0407407407407407
proportional,stock,1.0407407407407407
proportional,net,1.0407407407407407
proportional,oyj,1.0407407407407407
proportional,bank,1.0407407407407407
proportional,year,1.0306364617044228
proportional,euro,1.0407407407407407
proportional,turnover,1.0407407407407407
proportional,news,1.0407407407407407
proportional,paper,1.0407407407407407
proportional,quarter,1.0264840182648403
proportional,margin,1.0407407407407407
proportional,volume,1.0407407407407407
proportional,passenger,1.0407407407407407
proportional,revenue,1.0407407407407407
proportional,product,1.0407407407407407
proportional,eur,1.0181159420289856
proportional,value,1.0407407407407407
proportional,solution,1.0407407407407407
proportional,management,1.0407407407407407
proportional,income,1.0407407407407407
proportional,market,1.0060493827160495
proportional,customer,1.0407407407407407
proportional,system,1.0407407407407407
proportional,division,1.0407407407407407
proportional,business,1.0407407407407407
inversely_proportional,day,-9.579545454545455
proportional,month,1.0407407407407407
proportional,maker,1.0407407407407407
proportional,time,1.0407407407407407
inversely_proportional,company,-1.3624242424242423
proportional,share,1.0218181818181817
proportional,june,1.0407407407407407
proportional,interest,1.0407407407407407
proportional,trade,1.0407407407407407
inversely_proportional,plant,-6.386363636363637
proportional,percent,1.0035714285714286
proportional,metal,1.0407407407407407
proportional,cent,1.0407407407407407
proportional,report,1.0407407407407407
proportional,medium,1.0407407407407407
proportional,end,1.0407407407407407
proportional,capital,1.0407407407407407
proportional,march,1.0407407407407407
proportional,investment,1.0407407407407407
proportional,efficiency,1.0407407407407407
proportional,demand,1.0407407407407407
proportional,brewery,1.0407407407407407
proportional,property,1.0407407407407407
proportional,manufacturer,1.0407407407407407
inversely_proportional,construction,-6.386363636363637
proportional,beer,1.0407407407407407
proportional,area,1.0407407407407407
proportional,growth,1.0407407407407407
proportional,industry,1.0407407407407407
proportional,liter,1.0407407407407407
inversely_proportional,result,-3.1931818181818183
