direction_dependency,entity,score
proportional,month,1.0222222222222221
proportional,sale,1.0222222222222221
proportional,contract,1.0222222222222221
proportional,maker,1.0222222222222221
proportional,quarter,1.0222222222222221
proportional,metal,1.0222222222222221
proportional,finland,1.0222222222222221
proportional,orion,1.0222222222222221
proportional,percent,1.0222222222222221
proportional,news,1.0222222222222221
proportional,profit,1.0163134232498394
proportional,capacity,1.0222222222222221
proportional,value,1.0222222222222221
proportional,period,1.0222222222222221
proportional,earnings,1.0222222222222221
proportional,september,1.0222222222222221
proportional,year,1.0222222222222221
proportional,mln,1.0222222222222221
proportional,item,1.0222222222222221
proportional,business,1.0222222222222221
proportional,group,1.0222222222222221
proportional,volume,1.0222222222222221
proportional,operation,1.0222222222222221
inversely_proportional,cost,-23.0
proportional,report,1.0222222222222221
proportional,system,1.0222222222222221
proportional,medium,1.0222222222222221
proportional,turnover,1.0222222222222221
proportional,net,1.0222222222222221
proportional,rate,1.0222222222222221
proportional,half,1.0222222222222221
proportional,technology,1.0222222222222221
proportional,end,1.0222222222222221
inversely_proportional,price,-6.571428571428571
proportional,trade,1.0222222222222221
proportional,passenger,1.0222222222222221
proportional,currency,1.0222222222222221
proportional,eps,1.0222222222222221
proportional,product,1.0222222222222221
inversely_proportional,share,-1.9166666666666667
proportional,oyj,1.0222222222222221
proportional,order,1.0222222222222221
proportional,point,1.0222222222222221
proportional,eur,1.0141093474426808
proportional,income,1.0222222222222221
proportional,ebit,1.0222222222222221
proportional,acquisition,1.0222222222222221
proportional,revenue,1.0222222222222221
proportional,eur0,1.0222222222222221
proportional,hel,1.0222222222222221
proportional,today,1.0222222222222221
proportional,solution,1.0222222222222221
proportional,june,1.0222222222222221
inversely_proportional,construction,-7.666666666666667
inversely_proportional,company,-2.4210526315789473
proportional,manufacturer,1.0222222222222221
