direction_dependency,entity,score
proportional,mn,1.0153452685421995
proportional,oyj,1.0153452685421995
proportional,year,1.0153452685421995
proportional,volume,1.0153452685421995
proportional,end,1.0153452685421995
proportional,operating,1.0153452685421995
proportional,solution,1.0153452685421995
proportional,contract,1.0153452685421995
proportional,sale,1.0071570002475043
proportional,profit,1.0153452685421995
proportional,loss,1.0153452685421995
proportional,income,1.0153452685421995
proportional,quarter,1.0153452685421995
proportional,earnings,1.0153452685421995
proportional,revenue,1.0153452685421995
proportional,group,1.0153452685421995
proportional,september,1.0153452685421995
proportional,item,1.0153452685421995
proportional,order,1.0153452685421995
proportional,month,1.0153452685421995
proportional,passenger,1.0153452685421995
proportional,news,1.0153452685421995
proportional,maker,1.0153452685421995
inversely_proportional,cost,-37.80952380952381
proportional,margin,1.0153452685421995
proportional,euro,1.0153452685421995
proportional,pct,1.0153452685421995
proportional,finland,1.0153452685421995
proportional,period,1.0153452685421995
proportional,beer,1.0153452685421995
proportional,helsinki,1.0153452685421995
proportional,eur,1.0153452685421995
proportional,market,1.0153452685421995
proportional,rate,1.0153452685421995
proportional,system,1.0153452685421995
proportional,trade,1.0153452685421995
proportional,currency,1.0153452685421995
proportional,tax,1.0153452685421995
proportional,business,1.0153452685421995
proportional,mln,1.0153452685421995
proportional,june,1.0153452685421995
proportional,eps,1.0153452685421995
proportional,turnover,1.0153452685421995
proportional,industry,1.0153452685421995
proportional,liter,1.0153452685421995
inversely_proportional,price,-22.055555555555557
proportional,report,1.0153452685421995
proportional,hel,1.0153452685421995
proportional,today,1.0153452685421995
