direction_dependency,entity,score
proportional,quarter,1.0296442687747036
proportional,news,1.0296442687747036
proportional,mn,1.0296442687747036
proportional,group,1.0296442687747036
proportional,operating,1.0296442687747036
proportional,eps,1.0296442687747036
proportional,year,1.0296442687747036
proportional,capital,1.0296442687747036
proportional,revenue,1.0296442687747036
proportional,management,1.0296442687747036
proportional,income,1.0296442687747036
proportional,earnings,1.0296442687747036
proportional,end,1.0296442687747036
proportional,mln,1.0296442687747036
proportional,demand,1.0296442687747036
proportional,investment,1.0296442687747036
proportional,solution,1.0296442687747036
proportional,brewery,1.0296442687747036
proportional,growth,1.0296442687747036
proportional,sale,1.0219025825433148
proportional,period,1.0296442687747036
proportional,passenger,1.0296442687747036
proportional,loss,1.0296442687747036
proportional,report,1.0296442687747036
proportional,contract,1.0296442687747036
proportional,pct,1.0296442687747036
proportional,eur0,1.0296442687747036
proportional,beer,1.0296442687747036
proportional,helsinki,1.0296442687747036
proportional,maker,1.0296442687747036
proportional,interest,1.0296442687747036
proportional,electronics,1.0296442687747036
proportional,paper,1.0296442687747036
proportional,volume,1.0296442687747036
proportional,margin,1.0296442687747036
proportional,service,1.0296442687747036
proportional,omx,1.0296442687747036
proportional,product,1.0296442687747036
proportional,number,1.0296442687747036
proportional,profit,1.0235516991369835
inversely_proportional,construction,-5.788888888888889
proportional,tonne,1.0296442687747036
proportional,market,1.0296442687747036
proportional,share,1.0098434174521131
proportional,net,1.0296442687747036
proportional,customer,1.0296442687747036
proportional,turnover,1.0296442687747036
proportional,september,1.0296442687747036
proportional,liter,1.0296442687747036
proportional,finnair,1.0296442687747036
proportional,business,1.0296442687747036
proportional,system,1.0296442687747036
inversely_proportional,price,-6.5125
proportional,cent,1.0296442687747036
proportional,month,1.0296442687747036
proportional,item,1.0296442687747036
proportional,june,1.0296442687747036
proportional,metal,1.0296442687747036
inversely_proportional,cost,-18.524444444444445
proportional,oyj,1.0296442687747036
proportional,communication,1.0296442687747036
proportional,order,1.0296442687747036
proportional,manufacturer,1.0296442687747036
inversely_proportional,result,-6.5125
proportional,area,1.0296442687747036
inversely_proportional,company,-1.4081081081081082
