sentiment,entity,directional_word
positive,month,acceler
positive,month,advanc
positive,month,award
positive,month,better
positive,month,climb
positive,month,doubl
positive,month,faster
positive,month,gain
positive,month,grow
positive,month,higher
positive,month,increas
positive,month,jump
positive,month,quicken
positive,month,rebound
positive,month,recov
positive,month,rise
positive,month,rose
positive,month,step-up
positive,month,surg
positive,month,up
positive,finland,acceler
positive,finland,advanc
positive,finland,award
positive,finland,better
positive,finland,climb
positive,finland,doubl
positive,finland,faster
positive,finland,gain
positive,finland,grow
positive,finland,higher
positive,finland,increas
positive,finland,jump
positive,finland,quicken
positive,finland,rebound
positive,finland,recov
positive,finland,rise
positive,finland,rose
positive,finland,step-up
positive,finland,surg
positive,finland,up
positive,sale,acceler
positive,sale,advanc
positive,sale,award
positive,sale,better
positive,sale,climb
positive,sale,doubl
positive,sale,faster
positive,sale,gain
positive,sale,grow
positive,sale,higher
positive,sale,increas
positive,sale,jump
positive,sale,quicken
positive,sale,rebound
positive,sale,recov
positive,sale,rise
positive,sale,rose
positive,sale,step-up
positive,sale,surg
positive,sale,up
positive,contract,acceler
positive,contract,advanc
positive,contract,award
positive,contract,better
positive,contract,climb
positive,contract,doubl
positive,contract,faster
positive,contract,gain
positive,contract,grow
positive,contract,higher
positive,contract,increas
positive,contract,jump
positive,contract,quicken
positive,contract,rebound
positive,contract,recov
positive,contract,rise
positive,contract,rose
positive,contract,step-up
positive,contract,surg
positive,contract,up
positive,maker,acceler
positive,maker,advanc
positive,maker,award
positive,maker,better
positive,maker,climb
positive,maker,doubl
positive,maker,faster
positive,maker,gain
positive,maker,grow
positive,maker,higher
positive,maker,increas
positive,maker,jump
positive,maker,quicken
positive,maker,rebound
positive,maker,recov
positive,maker,rise
positive,maker,rose
positive,maker,step-up
positive,maker,surg
positive,maker,up
positive,profit,acceler
positive,profit,advanc
positive,profit,award
positive,profit,better
positive,profit,climb
positive,profit,doubl
positive,profit,faster
positive,profit,gain
positive,profit,grow
positive,profit,higher
positive,profit,increas
positive,profit,jump
positive,profit,quicken
positive,profit,rebound
positive,profit,recov
positive,profit,rise
positive,profit,rose
positive,profit,step-up
positive,profit,surg
positive,profit,up
positive,quarter,acceler
positive,quarter,advanc
positive,quarter,award
positive,quarter,better
positive,quarter,climb
positive,quarter,doubl
positive,quarter,faster
positive,quarter,gain
positive,quarter,grow
positive,quarter,higher
positive,quarter,increas
positive,quarter,jump
positive,quarter,quicken
positive,quarter,rebound
positive,quarter,recov
positive,quarter,rise
positive,quarter,rose
positive,quarter,step-up
positive,quarter,surg
positive,quarter,up
positive,metal,acceler
positive,metal,advanc
positive,metal,award
positive,metal,better
positive,metal,climb
positive,metal,doubl
positive,metal,faster
positive,metal,gain
positive,metal,grow
positive,metal,higher
positive,metal,increas
positive,metal,jump
positive,metal,quicken
positive,metal,rebound
positive,metal,recov
positive,metal,rise
positive,metal,rose
positive,metal,step-up
positive,metal,surg
positive,metal,up
positive,demand,acceler
positive,demand,advanc
positive,demand,award
positive,demand,better
positive,demand,climb
positive,demand,doubl
positive,demand,faster
positive,demand,gain
positive,demand,grow
positive,demand,higher
positive,demand,increas
positive,demand,jump
positive,demand,quicken
positive,demand,rebound
positive,demand,recov
positive,demand,rise
positive,demand,rose
positive,demand,step-up
positive,demand,surg
positive,demand,up
positive,beer,acceler
positive,beer,advanc
positive,beer,award
positive,beer,better
positive,beer,climb
positive,beer,doubl
positive,beer,faster
positive,beer,gain
positive,beer,grow
positive,beer,higher
positive,beer,increas
positive,beer,jump
positive,beer,quicken
positive,beer,rebound
positive,beer,recov
positive,beer,rise
positive,beer,rose
positive,beer,step-up
positive,beer,surg
positive,beer,up
positive,news,acceler
positive,news,advanc
positive,news,award
positive,news,better
positive,news,climb
positive,news,doubl
positive,news,faster
positive,news,gain
positive,news,grow
positive,news,higher
positive,news,increas
positive,news,jump
positive,news,quicken
positive,news,rebound
positive,news,recov
positive,news,rise
positive,news,rose
positive,news,step-up
positive,news,surg
positive,news,up
positive,value,acceler
positive,value,advanc
positive,value,award
positive,value,better
positive,value,climb
positive,value,doubl
positive,value,faster
positive,value,gain
positive,value,grow
positive,value,higher
positive,value,increas
positive,value,jump
positive,value,quicken
positive,value,rebound
positive,value,recov
positive,value,rise
positive,value,rose
positive,value,step-up
positive,value,surg
positive,value,up
positive,period,acceler
positive,period,advanc
positive,period,award
positive,period,better
positive,period,climb
positive,period,doubl
positive,period,faster
positive,period,gain
positive,period,grow
positive,period,higher
positive,period,increas
positive,period,jump
positive,period,quicken
positive,period,rebound
positive,period,recov
positive,period,rise
positive,period,rose
positive,period,step-up
positive,period,surg
positive,period,up
positive,earnings,acceler
positive,earnings,advanc
positive,earnings,award
positive,earnings,better
positive,earnings,climb
positive,earnings,doubl
positive,earnings,faster
positive,earnings,gain
positive,earnings,grow
positive,earnings,higher
positive,earnings,increas
positive,earnings,jump
positive,earnings,quicken
positive,earnings,rebound
positive,earnings,recov
positive,earnings,rise
positive,earnings,rose
positive,earnings,step-up
positive,earnings,surg
positive,earnings,up
positive,report,acceler
positive,report,advanc
positive,report,award
positive,report,better
positive,report,climb
positive,report,doubl
positive,report,faster
positive,report,gain
positive,report,grow
positive,report,higher
positive,report,increas
positive,report,jump
positive,report,quicken
positive,report,rebound
positive,report,recov
positive,report,rise
positive,report,rose
positive,report,step-up
positive,report,surg
positive,report,up
positive,company,acceler
positive,company,advanc
positive,company,award
positive,company,better
positive,company,climb
positive,company,doubl
positive,company,faster
positive,company,gain
positive,company,grow
positive,company,higher
positive,company,increas
positive,company,jump
positive,company,quicken
positive,company,rebound
positive,company,recov
positive,company,rise
positive,company,rose
positive,company,step-up
positive,company,surg
positive,company,up
positive,volume,acceler
positive,volume,advanc
positive,volume,award
positive,volume,better
positive,volume,climb
positive,volume,doubl
positive,volume,faster
positive,volume,gain
positive,volume,grow
positive,volume,higher
positive,volume,increas
positive,volume,jump
positive,volume,quicken
positive,volume,rebound
positive,volume,recov
positive,volume,rise
positive,volume,rose
positive,volume,step-up
positive,volume,surg
positive,volume,up
positive,business,acceler
positive,business,advanc
positive,business,award
positive,business,better
positive,business,climb
positive,business,doubl
positive,business,faster
positive,business,gain
positive,business,grow
positive,business,higher
positive,business,increas
positive,business,jump
positive,business,quicken
positive,business,rebound
positive,business,recov
positive,business,rise
positive,business,rose
positive,business,step-up
positive,business,surg
positive,business,up
positive,area,acceler
positive,area,advanc
positive,area,award
positive,area,better
positive,area,climb
positive,area,doubl
positive,area,faster
positive,area,gain
positive,area,grow
positive,area,higher
positive,area,increas
positive,area,jump
positive,area,quicken
positive,area,rebound
