sentiment,entity,directional_word
positive,price,acceler
positive,price,advanc
positive,price,award
positive,price,better
positive,price,climb
positive,price,doubl
positive,price,faster
positive,price,gain
positive,price,grow
positive,price,higher
positive,price,increas
positive,price,jump
positive,price,quicken
positive,price,rebound
positive,price,recov
positive,price,rise
positive,price,rose
positive,price,step-up
positive,price,surg
positive,price,up
positive,stock,acceler
positive,stock,advanc
positive,stock,award
positive,stock,better
positive,stock,climb
positive,stock,doubl
positive,stock,faster
positive,stock,gain
positive,stock,grow
positive,stock,higher
positive,stock,increas
positive,stock,jump
positive,stock,quicken
positive,stock,rebound
positive,stock,recov
positive,stock,rise
positive,stock,rose
positive,stock,step-up
positive,stock,surg
positive,stock,up
positive,tesco,acceler
positive,tesco,advanc
positive,tesco,award
positive,tesco,better
positive,tesco,climb
positive,tesco,doubl
positive,tesco,faster
positive,tesco,gain
positive,tesco,grow
positive,tesco,higher
positive,tesco,increas
positive,tesco,jump
positive,tesco,quicken
positive,tesco,rebound
positive,tesco,recov
positive,tesco,rise
positive,tesco,rose
positive,tesco,step-up
positive,tesco,surg
positive,tesco,up
positive,year,acceler
positive,year,advanc
positive,year,award
positive,year,better
positive,year,climb
positive,year,doubl
positive,year,faster
positive,year,gain
positive,year,grow
positive,year,higher
positive,year,increas
positive,year,jump
positive,year,quicken
positive,year,rebound
positive,year,recov
positive,year,rise
positive,year,rose
positive,year,step-up
positive,year,surg
positive,year,up
positive,ftse,acceler
positive,ftse,advanc
positive,ftse,award
positive,ftse,better
positive,ftse,climb
positive,ftse,doubl
positive,ftse,faster
positive,ftse,gain
positive,ftse,grow
positive,ftse,higher
positive,ftse,increas
positive,ftse,jump
positive,ftse,quicken
positive,ftse,rebound
positive,ftse,recov
positive,ftse,rise
positive,ftse,rose
positive,ftse,step-up
positive,ftse,surg
positive,ftse,up
positive,revenue,acceler
positive,revenue,advanc
positive,revenue,award
positive,revenue,better
positive,revenue,climb
positive,revenue,doubl
positive,revenue,faster
positive,revenue,gain
positive,revenue,grow
positive,revenue,higher
